"","name1","name2"
"1","Judy Kay","Bob Kummerfeld"
"2","Janusz Kacprzyk","Slawomir Zadrozny"
"3","Didier Dubois","Henri Prade"
"4","Chenglin Fan","Jun Luo"
"5","Chenglin Fan","Binhai Zhu"
"6","Jun Luo","Binhai Zhu"
"7","Shlomo Berkovsky","Jill Freyne"
"8","Shinpei Hayashi","Motoshi Saeki"
"9","Yann-Gaël Guéhéneuc","Giuliano Antoniol"
"10","Werner Retschitzegger","Wieland Schwinger"
"11","Alexander V. Smirnov","Alexey Kashevnik"
"12","Alexander V. Smirnov","Nikolay Shilov"
"13","Alexey Kashevnik","Nikolay Shilov"
"14","Omar F. El-Gayar","Amit V. Deokar"
"15","Sven Overhage","Sebastian Schlauderer"
"16","Girish J. Gulati","David J. Yates"
"17","Kenric W. Hammond","Ryan Laundry"
"18","Aaron Read","Robert O. Briggs"
"19","David E. Newman","Benjamin A. Carreras"
"20","David E. Newman","Ian Dobson"
"21","Benjamin A. Carreras","Ian Dobson"
"22","J. Alberto Espinosa","Frank Armour"
"23","J. Alberto Espinosa","Wai Fong Boh"
"24","Frank Armour","Wai Fong Boh"
"25","Benjamin A. Carreras","David E. Newman"
"26","Robert Winter","Felix Wortmann"
"27","Falk Uebernickel","Walter Brenner"
"28","Dominik Ertl","Jürgen Falb"
"29","Kara L. Nance","Matt Bishop"
"30","William N. Robinson","Arash Akhlaghi"
"31","Walter Brenner","Falk Uebernickel"
"32","José Ramón Gil-García","Theresa A. Pardo"
"33","Jan Marco Leimeister","Helmut Krcmar"
"34","William N. Robinson","Kalle Lyytinen"
"35","Koichi Ishida","Tsuyoshi Sekitani"
"36","Koichi Ishida","Makoto Takamiya"
"37","Koichi Ishida","Takao Someya"
"38","Koichi Ishida","Takayasu Sakurai"
"39","Tsuyoshi Sekitani","Makoto Takamiya"
"40","Tsuyoshi Sekitani","Takao Someya"
"41","Tsuyoshi Sekitani","Takayasu Sakurai"
"42","Makoto Takamiya","Takao Someya"
"43","Makoto Takamiya","Takayasu Sakurai"
"44","Takao Someya","Takayasu Sakurai"
"45","Hiroki Ishikuro","Tadahiro Kuroda"
"46","Dennis Sylvester","David Blaauw"
"47","David Fick","David Blaauw"
"48","David Fick","Dennis Sylvester"
"49","David Blaauw","Dennis Sylvester"
"50","Andrea Mazzanti","Francesco Svelto"
"51","Johan H. Huijsing","Kofi A. A. Makinwa"
