"","name1","name2"
"1","Janusz Kacprzyk","Slawomir Zadrozny"
"2","Alexander V. Smirnov","Nikolay Shilov"
"3","Alexander V. Smirnov","Alexey Kashevnik"
"4","Nikolay Shilov","Alexey Kashevnik"
"5","Slawomir Zadrozny","Janusz Kacprzyk"
"6","Chenglin Fan","Jun Luo"
"7","Judy Kay","Bob Kummerfeld"
"8","Fabian Abel","Eelco Herder"
"9","Jill Freyne","Shlomo Berkovsky"
"10","Giuliano Antoniol","Yann-Gaël Guéhéneuc"
"11","Yann-Gaël Guéhéneuc","Giuliano Antoniol"
"12","Shinpei Hayashi","Motoshi Saeki"
"13","Werner Retschitzegger","Wieland Schwinger"
"14","Eduardo Figueiredo","Alessandro Garcia"
"15","Sven Overhage","Sebastian Schlauderer"
"16","J. Alberto Espinosa","Frank Armour"
"17","J. Alberto Espinosa","Wai Fong Boh"
"18","Frank Armour","Wai Fong Boh"
"19","Amit V. Deokar","Omar F. El-Gayar"
"20","José Ramón Gil-García","Theresa A. Pardo"
"21","Kenric W. Hammond","Ryan Laundry"
"22","Jan Marco Leimeister","Helmut Krcmar"
"23","Falk Uebernickel","Walter Brenner"
"24","Dominik Ertl","Jürgen Falb"
"25","William N. Robinson","Arash Akhlaghi"
"26","Aaron Read","Robert O. Briggs"
"27","Aaron Read","Gert-Jan de Vreede"
"28","Robert O. Briggs","Gert-Jan de Vreede"
"29","David J. Yates","Girish J. Gulati"
"30","Gwendolyn L. Kolfschoten","Stephan Lukosch"
"31","Robert O. Briggs","Gwendolyn L. Kolfschoten"
"32","Gwendolyn L. Kolfschoten","Gert-Jan de Vreede"
"33","Benjamin A. Carreras","David E. Newman"
"34","Benjamin A. Carreras","Ian Dobson"
"35","David E. Newman","Ian Dobson"
"36","Vladimir Stojanovic","Takayasu Sakurai"
"37","Andrea Mazzanti","Francesco Svelto"
"38","Hiroki Ishikuro","Tadahiro Kuroda"
"39","Koichi Ishida","Tsuyoshi Sekitani"
"40","Koichi Ishida","Makoto Takamiya"
"41","Koichi Ishida","Takao Someya"
"42","Koichi Ishida","Takayasu Sakurai"
"43","Tsuyoshi Sekitani","Makoto Takamiya"
"44","Tsuyoshi Sekitani","Takao Someya"
"45","Tsuyoshi Sekitani","Takayasu Sakurai"
"46","Makoto Takamiya","Takao Someya"
"47","Makoto Takamiya","Takayasu Sakurai"
"48","Takao Someya","Takayasu Sakurai"
"49","David Fick","Dennis Sylvester"
"50","David Fick","David Blaauw"
"51","Dennis Sylvester","David Blaauw"
"52","Kofi A. A. Makinwa","Bram Nauta"
"53","Johan H. Huijsing","Kofi A. A. Makinwa"
