"","name1","name2"
"1","Janusz Kacprzyk","Slawomir Zadrozny"
"2","Didier Dubois","Henri Prade"
"3","Slawomir Zadrozny","Janusz Kacprzyk"
"4","Chenglin Fan","Jun Luo"
"5","Chenglin Fan","Binhai Zhu"
"6","Jun Luo","Binhai Zhu"
"7","Judy Kay","Bob Kummerfeld"
"8","Shinpei Hayashi","Motoshi Saeki"
"9","Giuliano Antoniol","Yann-Gaël Guéhéneuc"
"10","Werner Retschitzegger","Wieland Schwinger"
"11","Alexander V. Smirnov","Nikolay Shilov"
"12","Alexander V. Smirnov","Alexey Kashevnik"
"13","Nikolay Shilov","Alexey Kashevnik"
"14","Samuel Fosso Wamba","Theresa A. Pardo"
"15","Dominik Ertl","Jürgen Falb"
"16","Kara L. Nance","Matt Bishop"
"17","Omar F. El-Gayar","Arno Scharl"
"18","Timo Käkölä","Stefan Smolnik"
"19","Marijn Janssen","Helmut Krcmar"
"20","J. Alberto Espinosa","Frank Armour"
"21","J. Alberto Espinosa","Wai Fong Boh"
"22","Frank Armour","Wai Fong Boh"
"23","Falk Uebernickel","Walter Brenner"
"24","Amit V. Deokar","Omar F. El-Gayar"
"25","Frank Armour","J. Alberto Espinosa"
"26","William N. Robinson","Arash Akhlaghi"
"27","Gwendolyn L. Kolfschoten","Stephan Lukosch"
"28","Gwendolyn L. Kolfschoten","Jan Marco Leimeister"
"29","Stephan Lukosch","Jan Marco Leimeister"
"30","Stephan Lukosch","Gwendolyn L. Kolfschoten"
"31","Benjamin A. Carreras","David E. Newman"
"32","Benjamin A. Carreras","Ian Dobson"
"33","David E. Newman","Ian Dobson"
"34","Aaron Read","Gert-Jan de Vreede"
"35","Sven Overhage","Sebastian Schlauderer"
"36","David J. Yates","Girish J. Gulati"
"37","Kenric W. Hammond","Ryan Laundry"
"38","Felix Wortmann","Robert Winter"
"39","Hiroki Ishikuro","Tadahiro Kuroda"
"40","David Fick","Dennis Sylvester"
"41","Johan H. Huijsing","Kofi A. A. Makinwa"
"42","David Blaauw","Dennis Sylvester"
"43","Andrea Mazzanti","Francesco Svelto"
"44","Makoto Takamiya","Takayasu Sakurai"
"45","Hooman Darabi","Ali Hajimiri"
"46","Dennis Sylvester","David Blaauw"
"47","Koichi Ishida","Tsuyoshi Sekitani"
"48","Koichi Ishida","Makoto Takamiya"
"49","Koichi Ishida","Takao Someya"
"50","Koichi Ishida","Takayasu Sakurai"
"51","Tsuyoshi Sekitani","Makoto Takamiya"
"52","Tsuyoshi Sekitani","Takao Someya"
"53","Tsuyoshi Sekitani","Takayasu Sakurai"
"54","Makoto Takamiya","Takao Someya"
"55","Takao Someya","Takayasu Sakurai"
"56","Ken Chang","Vladimir Stojanovic"
