"","from","to"
"1",42,2497
"2",42,3252
"3",42,7575
"4",42,10026
"5",42,13237
"6",42,34309
"7",42,37100
"8",174,1680
"9",174,5078
"10",174,5602
"11",174,5713
"12",174,9145
"13",174,9505
"14",174,12129
"15",174,12470
"16",174,12956
"17",174,16082
"18",174,17072
"19",174,18210
"20",174,25512
"21",174,28007
"22",174,37100
"23",174,39318
"24",174,46571
"25",174,47541
"26",174,53684
"27",174,54412
"28",174,55094
"29",174,59908
"30",174,196724
"31",174,199330
"32",209,2497
"33",209,5078
"34",209,10026
"35",209,12956
"36",251,1680
"37",251,2497
"38",251,3252
"39",251,5713
"40",251,8781
"41",251,9145
"42",251,9505
"43",251,12470
"44",251,13237
"45",251,13285
"46",251,14868
"47",251,15133
"48",251,25291
"49",251,25512
"50",251,28169
"51",251,34309
"52",251,47447
"53",251,47541
"54",286,702
"55",286,1680
"56",286,2497
"57",286,3252
"58",286,5713
"59",286,6775
"60",286,9145
"61",286,9505
"62",286,12470
"63",286,12956
"64",286,13237
"65",286,13285
"66",286,15133
"67",286,22773
"68",286,25291
"69",286,34309
"70",286,47447
"71",286,47541
"72",286,60280
