"","from","to"
"1",42,2497
"2",42,3252
"3",42,7575
"4",42,10026
"5",42,13237
"6",42,37100
"7",174,1680
"8",174,3252
"9",174,5078
"10",174,5602
"11",174,5713
"12",174,9145
"13",174,10026
"14",174,12129
"15",174,12470
"16",174,12956
"17",174,15133
"18",174,16082
"19",174,17072
"20",174,25512
"21",174,28007
"22",174,34309
"23",174,37100
"24",174,39318
"25",174,46571
"26",174,47541
"27",174,53684
"28",174,54412
"29",174,59908
"30",174,196724
"31",174,199330
"32",209,2497
"33",209,5078
"34",209,10026
"35",209,12956
"36",251,2497
"37",251,3252
"38",251,8781
"39",251,9145
"40",251,9505
"41",251,12956
"42",251,13237
"43",251,13285
"44",251,15133
"45",251,37100
"46",286,702
"47",286,1680
"48",286,2497
"49",286,3252
"50",286,5713
"51",286,6775
"52",286,9145
"53",286,10026
"54",286,12470
"55",286,12956
"56",286,13237
"57",286,13285
"58",286,15133
"59",286,22773
"60",286,25291
"61",286,34309
"62",286,37100
"63",286,47447
"64",286,47541
"65",286,60280
